32 4627.62 2311.95
48 7818.23 5781.32
64 11565.9 2794.59
96 14787.4 12752.1
128 15405.9 7004.45
192 25055.5 18274
256 33701.9 19390.3
384 44773.5 18162.6
512 57547.5 37395.1
768 86026.3 28123.8
1024 86720.9 63778.9
1536 99260.1 47655.5
2048 118068 59596
3072 135593 103372
4096 150362 102221
6144 176016 119880
8192 194755 125938
12288 206679 161985
16384 192954 145667
24576 152429 118190
32768 201379 169211
49152 176415 141222
65536 177009 160215
98304 187246 171350
131072 196027 184402
196608 199840 185558
262144 210201 200623
393216 215486 205834
524288 215936 205891
